cnd,test_eye,transient_counts,cdt,mdt,dtstd,key_press_list
-9,-1,2,0.46928906440734863,0.46928906440734863,0.0,[0.46928906440734863]
-3,-1,2,0.14923691749572754,0.14923691749572754,0.0,[0.14923691749572754]
-9,-1,2,0.18146705627441406,0.18146705627441406,0.0,[0.18146705627441406]
0,-1,0,0.0,0.0,0.0,[]
-9,-1,4,2.010986089706421,1.0054930448532104,0.5756641626358032,"[1.5811572074890137, 0.4298288822174072]"
6,1,12,8.49771761894226,1.4162862698237102,1.3807984706630756,"[3.2936928272247314, 0.31761884689331055, 0.6458168029785156, 0.1740260124206543, 3.413444757461548, 0.653118371963501]"
0,1,12,5.914230823516846,0.9857051372528076,0.6929934547730089,"[1.1256449222564697, 2.3974289894104004, 0.4055671691894531, 1.021880865097046, 0.5897719860076904, 0.37393689155578613]"
-6,-1,0,0.0,0.0,0.0,[]
12,1,20,20.210168600082397,2.0210168600082397,1.6802760386916555,"[0.2697279453277588, 2.1658241748809814, 0.5018031597137451, 2.117853879928589, 1.8857331275939941, 5.365903854370117, 0.9415891170501709, 0.3178901672363281, 4.766017198562622, 1.8778259754180908]"
-12,-1,0,0.0,0.0,0.0,[]
6,1,10,12.876747608184814,2.575349521636963,1.5690576312738729,"[1.6052038669586182, 1.7737998962402344, 3.4298388957977295, 5.222017765045166, 0.8458871841430664]"
12,1,12,18.16262936592102,3.02710489432017,2.152589325380402,"[0.5013062953948975, 0.14983201026916504, 3.309892177581787, 5.17399787902832, 3.0936172008514404, 5.93398380279541]"
0,1,6,16.337640047073364,5.445880015691121,4.097041514782183,"[3.229569911956787, 11.190262079238892, 1.9178080558776855]"
0,-1,0,0.0,0.0,0.0,[]
12,1,14,20.836350202560425,2.976621457508632,1.087685808603637,"[2.1032371520996094, 5.005972146987915, 3.5419762134552, 1.5176029205322266, 2.6218879222869873, 3.663886785507202, 2.381787061691284]"
-3,-1,0,0.0,0.0,0.0,[]
-12,-1,2,1.829373836517334,1.829373836517334,0.0,[1.829373836517334]
3,1,14,21.537360906600952,3.076765843800136,1.6133291560015424,"[3.678317070007324, 0.2057948112487793, 5.133968114852905, 1.1738770008087158, 3.782106876373291, 3.413419008255005, 4.149878025054932]"
-6,-1,4,3.811245918273926,1.905622959136963,0.6681690216064453,"[1.2374539375305176, 2.573791980743408]"
3,1,16,17.317426443099976,2.164678305387497,1.8862439501132178,"[0.9014308452606201, 2.173738956451416, 0.3179450035095215, 1.3097479343414307, 2.5257182121276855, 1.405595302581787, 1.8374912738800049, 6.84575891494751]"
9,1,16,20.526911973953247,2.565863996744156,2.3286724839465403,"[2.1094038486480713, 3.478010892868042, 0.6859378814697266, 7.725959300994873, 0.493757963180542, 0.93373703956604, 4.166018009185791, 0.9340870380401611]"
0,-1,0,0.0,0.0,0.0,[]
-3,-1,0,0.0,0.0,0.0,[]
-6,-1,0,0.0,0.0,0.0,[]
0,1,14,12.07243037223816,1.724632910319737,1.1969099379470773,"[4.1258769035339355, 1.7974467277526855, 0.3497898578643799, 1.3259971141815186, 1.5819687843322754, 0.4377598762512207, 2.4535911083221436]"
9,1,12,17.153773069381714,2.8589621782302856,2.9222758725821385,"[2.517627000808716, 1.8212130069732666, 9.285730838775635, 1.5737299919128418, 1.053711175918579, 0.9017610549926758]"
-12,-1,0,0.0,0.0,0.0,[]
6,1,12,14.05087399482727,2.341812332471212,1.2358961878904466,"[2.453500986099243, 1.573287010192871, 1.445404052734375, 0.9012448787689209, 3.0637049674987793, 4.613732099533081]"
9,1,18,10.419549465179443,1.1577277183532715,0.9188915133804254,"[1.0532760620117188, 2.301785945892334, 0.9978852272033691, 2.429636001586914, 0.2860269546508789, 0.26178789138793945, 0.4137001037597656, 0.22974801063537598, 2.4457032680511475]"
3,1,6,15.361850261688232,5.120616753896077,1.8198838463234526,"[6.517701148986816, 2.5501551628112793, 6.293993949890137]"
