cnd,test_eye,transient_counts,cdt,mdt,dtstd,key_press_list
6,1,8,8.813989400863647,2.203497350215912,1.5135135017313701,"[4.357235908508301, 2.869765281677246, 0.5652711391448975, 1.0217170715332031]"
0,1,8,6.8938539028167725,1.7234634757041931,0.720623544137281,"[2.653451919555664, 1.701704978942871, 1.901566982269287, 0.6371300220489502]"
-3,-1,4,6.883311748504639,3.4416558742523193,3.3720340728759766,"[6.813689947128296, 0.06962180137634277]"
3,1,6,8.160385847091675,2.720128615697225,0.33722410682234044,"[3.1495540142059326, 2.3257620334625244, 2.6850697994232178]"
0,1,8,6.397451162338257,1.5993627905845642,0.36426490614243856,"[1.1732699871063232, 1.749204158782959, 1.35762619972229, 2.1173508167266846]"
-6,-1,10,9.003951787948608,1.8007903575897217,1.377491957746977,"[1.3973629474639893, 0.09360408782958984, 4.1418068408966064, 2.357630968093872, 1.0135469436645508]"
6,1,8,9.014064311981201,2.2535160779953003,0.7987256368411144,"[2.7252261638641357, 2.3658180236816406, 2.9974138736724854, 0.9256062507629395]"
-3,-1,6,14.23454236984253,4.744847456614177,2.0259231751802997,"[2.1334831714630127, 5.029682159423828, 7.0713770389556885]"
-6,-1,10,9.395844459533691,1.8791688919067382,1.0542725475511645,"[1.5173490047454834, 3.9093430042266846, 1.5658466815948486, 1.5815908908843994, 0.8217148780822754]"
-12,-1,8,10.949966430664062,2.7374916076660156,1.733889134055955,"[4.02945876121521, 0.3815300464630127, 1.813516616821289, 4.725461006164551]"
9,1,6,4.961424827575684,1.6538082758585613,0.9568609363997529,"[0.5892848968505859, 1.4625599384307861, 2.9095799922943115]"
-12,-1,6,10.704843759536743,3.5682812531789145,0.12425956321006539,"[3.725461006164551, 3.5577468872070312, 3.421635866165161]"
3,1,6,7.200770139694214,2.4002567132314048,1.1664541319429549,"[0.9494390487670898, 2.4457619190216064, 3.8055691719055176]"
-6,-1,6,6.441580057144165,2.147193352381388,0.9028278661793128,"[3.4148600101470947, 1.6453189849853516, 1.3814010620117188]"
0,-1,10,6.205005168914795,1.241001033782959,0.6289562379399665,"[1.3907780647277832, 0.5174322128295898, 1.6455087661743164, 0.5338129997253418, 2.1174731254577637]"
3,1,4,3.2745890617370605,1.6372945308685303,0.5919435024261475,"[2.2292380332946777, 1.0453510284423828]"
-9,-1,8,7.495779275894165,1.8739448189735413,1.2479306647023305,"[2.749150037765503, 0.6555318832397461, 3.445533275604248, 0.645564079284668]"
12,1,6,4.624469995498657,1.5414899984995525,0.2828755113807571,"[1.4453880786895752, 1.9258460998535156, 1.2532358169555664]"
6,1,8,6.3673601150512695,1.5918400287628174,1.2863513013931815,"[0.8770649433135986, 3.8055453300476074, 1.0473239421844482, 0.6374258995056152]"
-9,-1,4,6.930997848510742,3.465498924255371,1.3080589771270752,"[4.773557901382446, 2.157439947128296]"
-12,-1,8,6.4215734004974365,1.6053933501243591,0.8484682451567324,"[1.3251001834869385, 0.9176251888275146, 3.0536420345306396, 1.1252059936523438]"
9,1,4,9.19481611251831,4.597408056259155,1.880216121673584,"[6.477624177932739, 2.7171919345855713]"
0,-1,6,9.744857549667358,3.2482858498891196,0.9532745041080962,"[2.693434715270996, 2.461660861968994, 4.589761972427368]"
-9,-1,6,5.1680450439453125,1.7226816813151042,0.1662846387209061,"[1.5895271301269531, 1.957122802734375, 1.6213951110839844]"
12,1,8,8.478437185287476,2.119609296321869,1.7384092855664643,"[5.125838041305542, 1.2775030136108398, 1.0377740859985352, 1.0373220443725586]"
0,1,4,3.0905814170837402,1.5452907085418701,0.14807653427124023,"[1.3972141742706299, 1.6933672428131104]"
0,-1,6,3.832166910171509,1.2773889700571697,0.84583538068646,"[0.10956501960754395, 2.0855700969696045, 1.6370317935943604]"
12,1,4,4.723293781280518,2.361646890640259,1.4525160789489746,"[3.8141629695892334, 0.9091308116912842]"
-3,-1,4,3.88299298286438,1.94149649143219,0.6719695329666138,"[1.2695269584655762, 2.6134660243988037]"
9,1,8,6.261461019515991,1.5653652548789978,0.4446291853005613,"[1.5413458347320557, 2.1895711421966553, 1.5972800254821777, 0.9332640171051025]"
