cnd,test_eye,transient_counts,cdt,mdt,dtstd,key_press_list
12,1,6,16.584940433502197,4.146235108375549,2.3978274244458584,"[5.357497215270996, 5.741883039474487, 5.485560178756714]"
-9,-1,2,11.00592303276062,5.50296151638031,5.50296151638031,[11.00592303276062]
-6,-1,2,27.470916032791138,13.735458016395569,13.735458016395569,[27.470916032791138]
9,1,6,7.776442527770996,1.944110631942749,1.179013284175196,"[2.1655397415161133, 3.1575000286102295, 2.4534027576446533]"
-12,-1,2,3.0391252040863037,1.5195626020431519,1.5195626020431519,[3.0391252040863037]
9,1,2,12.734257936477661,6.367128968238831,6.367128968238831,[12.734257936477661]
12,1,8,7.09459924697876,1.418919849395752,1.0482033091106269,"[0.9257540702819824, 3.077749013900757, 1.0694591999053955, 2.021636962890625]"
-3,-1,6,17.97673988342285,4.494184970855713,3.0248117935235674,"[4.581626892089844, 8.525521039962769, 4.869591951370239]"
6,1,6,14.513130187988281,3.6282825469970703,3.5411285099575593,"[7.47786283493042, 6.845559120178223, 0.18970823287963867]"
3,1,6,16.713694095611572,4.178423523902893,4.555933681308708,"[10.957847118377686, 5.726056098937988, 0.029790878295898438]"
-6,-1,4,11.739407062530518,3.9131356875101724,4.431794512649281,"[10.109601020812988, 1.6298060417175293]"
6,1,2,0.33378005027770996,0.16689002513885498,0.16689002513885498,[0.33378005027770996]
-3,-1,2,2.965372085571289,1.4826860427856445,1.4826860427856445,[2.965372085571289]
9,1,0,0.0,0.0,0.0,[]
3,1,10,11.980721712112427,1.9967869520187378,1.7687355879055942,"[3.094000816345215, 2.965786933898926, 4.861798048019409, 0.7813658714294434, 0.2777700424194336]"
-9,-1,4,3.5630030632019043,1.187667687733968,0.8581302182266892,"[1.5654799938201904, 1.9975230693817139]"
6,1,8,7.64576268196106,1.5291525363922118,1.295911448150846,"[1.5892999172210693, 2.349548816680908, 3.461500883102417, 0.24541306495666504]"
-12,-1,0,0.0,0.0,0.0,[]
-3,-1,10,12.302993297576904,2.050498882929484,2.518705880404127,"[6.870034217834473, 1.0617141723632812, 0.37390995025634766, 0.14977717399597168, 3.847557783126831]"
-12,-1,4,5.595069169998169,1.8650230566660564,2.549188150012852,"[5.469389200210571, 0.12567996978759766]"
3,1,14,17.58471131324768,2.19808891415596,2.122639056008061,"[4.382020950317383, 3.230142116546631, 2.2056989669799805, 0.045214176177978516, 1.174057960510254, 0.3258521556854248, 6.221724987030029]"
12,1,0,0.0,0.0,0.0,[]
-6,-1,14,7.559727191925049,0.9449658989906311,0.8175129271939566,"[0.9894468784332275, 0.2699127197265625, 0.061902761459350586, 1.6933860778808594, 0.4695138931274414, 1.8937349319458008, 2.1818299293518066]"
-9,-1,2,4.725576162338257,2.3627880811691284,2.3627880811691284,[4.725576162338257]
