cnd,test_eye,transient_counts,cdt,mdt,dtstd,key_press_list
-12,-1,8,10.672674894332886,2.134534978866577,1.3635611683405962,"[2.855536937713623, 2.2856459617614746, 1.4617669582366943, 4.069725036621094]"
-6,-1,6,4.47187614440918,1.117969036102295,0.7756058073688814,"[0.8454551696777344, 1.572983980178833, 2.0534369945526123]"
6,1,8,7.206305265426636,1.4412610530853271,1.1992634302995224,"[2.1016719341278076, 0.10939908027648926, 1.9178950786590576, 3.0773391723632812]"
3,1,4,2.906769275665283,0.9689230918884277,0.7992480040777117,"[0.9493141174316406, 1.9574551582336426]"
12,1,6,4.762195825576782,1.1905489563941956,0.879484918555126,"[2.085336923599243, 1.9834818840026855, 0.6933770179748535]"
6,1,6,6.552790403366089,1.6381976008415222,1.0199866123455534,"[1.973548173904419, 2.79787015914917, 1.7813720703125]"
9,1,8,8.78331995010376,1.756663990020752,1.2472148592455483,"[1.9095768928527832, 3.534611940383911, 2.533337116241455, 0.8057940006256104]"
-12,-1,8,9.294384956359863,1.8588769912719727,1.5633143020775337,"[4.637355089187622, 1.0615959167480469, 1.349802017211914, 2.2456319332122803]"
-12,-1,10,11.459540128707886,1.9099233547846477,1.3393242910771386,"[3.6372039318084717, 2.629302978515625, 3.2538721561431885, 0.8295140266418457, 1.1096470355987549]"
-6,-1,6,7.432657718658447,1.8581644296646118,1.62604442303417,"[0.6613469123840332, 2.6699469089508057, 4.101363897323608]"
3,1,4,3.6507301330566406,1.2169100443522136,1.202175057501692,"[0.7971701622009277, 2.853559970855713]"
-3,-1,4,2.323019027709961,0.7743396759033203,0.5946926872305913,"[0.8772778511047363, 1.4457411766052246]"
12,1,8,12.145112037658691,2.4290224075317384,1.5583583845093654,"[1.6318278312683105, 2.9977662563323975, 4.693756818771362, 2.821761131286621]"
-9,-1,6,7.712430953979492,1.928107738494873,1.8021648148382976,"[4.645624876022339, 2.4214091300964355, 0.6453969478607178]"
-6,-1,6,6.928677082061768,1.732169270515442,1.7803819025324061,"[4.709765911102295, 0.9734370708465576, 1.245474100112915]"
3,1,2,1.677288293838501,0.8386441469192505,0.8386441469192505,[1.677288293838501]
-3,-1,6,6.152926683425903,1.5382316708564758,0.9417855423621423,"[2.3495359420776367, 2.261734962463379, 1.5416557788848877]"
6,1,8,7.607198476791382,1.5214396953582763,1.3442225339938463,"[1.6063332557678223, 1.2695212364196777, 3.981804132461548, 0.749539852142334]"
-3,-1,4,1.578674077987671,0.526224692662557,0.37215429175110853,"[0.7973310947418213, 0.7813429832458496]"
-9,-1,10,10.908499479293823,1.8180832465489705,1.316807147241974,"[2.405738115310669, 1.2375998497009277, 3.5899157524108887, 3.1174678802490234, 0.5577778816223145]"
9,1,8,14.454947710037231,2.8909895420074463,2.658868634057662,"[6.653685092926025, 5.493973970413208, 1.05377197265625, 1.253516674041748]"
9,1,10,12.988497257232666,2.164749542872111,1.794272658935703,"[1.5095601081848145, 2.6138219833374023, 3.733471155166626, 4.934028148651123, 0.1976158618927002]"
12,1,12,14.329259157180786,2.047037022454398,1.1945926271901732,"[1.9733099937438965, 3.5254948139190674, 2.4137141704559326, 3.3819029331207275, 2.2692220211029053, 0.7656152248382568]"
-9,-1,8,8.142044305801392,1.6284088611602783,1.8017575972305688,"[5.141725063323975, 1.173445224761963, 0.8535010814666748, 0.9733729362487793]"
