cnd,test_eye,transient_counts,cdt,mdt,dtstd,key_press_list
3,1,2,0.8535850048065186,0.4267925024032593,0.4267925024032593,[0.8535850048065186]
9,1,2,0.2294938564300537,0.11474692821502686,0.11474692821502686,[0.2294938564300537]
-12,-1,4,5.55518364906311,1.8517278830210369,1.4647013972044074,"[3.581552743911743, 1.9736309051513672]"
12,1,2,1.7975900173187256,0.8987950086593628,0.8987950086593628,[1.7975900173187256]
-6,-1,2,3.669604778289795,1.8348023891448975,1.8348023891448975,[3.669604778289795]
3,1,6,12.721526861190796,3.180381715297699,2.6392720187522465,"[3.653588056564331, 1.9014918804168701, 7.166446924209595]"
-12,-1,2,1.0534107685089111,0.5267053842544556,0.5267053842544556,[1.0534107685089111]
-3,-1,2,2.213489294052124,1.106744647026062,1.106744647026062,[2.213489294052124]
6,1,0,0.0,0.0,0.0,[]
6,1,0,0.0,0.0,0.0,[]
3,1,0,0.0,0.0,0.0,[]
-6,-1,0,0.0,0.0,0.0,[]
-12,-1,2,2.949528932571411,1.4747644662857056,1.4747644662857056,[2.949528932571411]
9,1,2,7.470152139663696,3.735076069831848,3.735076069831848,[7.470152139663696]
12,1,2,3.373732089996338,1.686866044998169,1.686866044998169,[3.373732089996338]
6,1,4,10.179619312286377,3.3932064374287925,2.63441653646355,"[6.422040224075317, 3.7575790882110596]"
-3,-1,2,4.9018378257751465,2.4509189128875732,2.4509189128875732,[4.9018378257751465]
-6,-1,4,6.13132905960083,2.043776353200277,2.049845299810377,"[1.2852060794830322, 4.846122980117798]"
-3,-1,4,6.459744930267334,2.1532483100891113,1.9438462670721648,"[1.7498559951782227, 4.709888935089111]"
-9,-1,6,4.096901893615723,1.0242254734039307,0.8450218851611674,"[0.9975149631500244, 2.3416099548339844, 0.7577769756317139]"
12,1,2,3.0776188373565674,1.5388094186782837,1.5388094186782837,[3.0776188373565674]
9,1,2,1.7656950950622559,0.8828475475311279,0.8828475475311279,[1.7656950950622559]
-9,-1,2,8.141830205917358,4.070915102958679,4.070915102958679,[8.141830205917358]
-9,-1,2,8.31001591682434,4.15500795841217,4.15500795841217,[8.31001591682434]
