test_eye,transient_counts,cdt,mdt,dtstd,key_press_list
-1,4,0.6830642223358154,0.22768807411193848,0.21161909663525053,"[0.17332816123962402, 0.5097360610961914]"
1,10,10.148022651672363,1.6913371086120605,0.8194494740299598,"[2.485478162765503, 1.9257652759552002, 1.5893559455871582, 2.373650074005127, 1.773773193359375]"
1,8,7.638333797454834,1.5276667594909668,1.0555719873683829,"[1.4215450286865234, 3.317838668823242, 1.5172622203826904, 1.381687879562378]"
-1,8,7.485662221908569,1.4971324443817138,1.6096162380597743,"[1.5650591850280762, 0.8775389194488525, 4.5495381355285645, 0.49352598190307617]"
-1,6,5.784439563751221,1.4461098909378052,0.8943290244030763,"[2.1656317710876465, 2.213376045227051, 1.4054317474365234]"
1,8,6.606170892715454,1.3212341785430908,0.8028468165179877,"[1.5333011150360107, 0.9256501197814941, 2.3415257930755615, 1.8056938648223877]"
1,10,7.867158651351929,1.3111931085586548,0.9422639817589397,"[1.5972459316253662, 2.2053239345550537, 1.1416740417480469, 2.613140821456909, 0.30977392196655273]"
1,8,8.072082042694092,1.6144164085388184,1.1186675582163073,"[1.5333950519561768, 3.07761812210083, 0.8713910579681396, 2.5896778106689453]"
-1,10,9.443713903427124,1.573952317237854,1.190006586833554,"[3.5012872219085693, 2.573532819747925, 1.6856768131256104, 1.173609972000122, 0.5096070766448975]"
-1,10,10.419095993041992,1.736515998840332,1.446665311528767,"[1.9015586376190186, 0.837332010269165, 4.613491058349609, 1.9494411945343018, 1.1172730922698975]"
