test_eye,transient_counts,cdt,mdt,dtstd,key_press_list
-1,8,2.0219874382019043,0.40439748764038086,0.35317225829308957,"[0.2771461009979248, 0.1896350383758545, 1.0217702388763428, 0.5334360599517822]"
1,10,3.9241065979003906,0.6540177663167318,0.5958363653582842,"[0.22148394584655762, 0.7494289875030518, 0.5817530155181885, 0.5017757415771484, 1.8696649074554443]"
-1,14,6.286628007888794,0.7858285009860992,0.7062389712718501,"[0.6053881645202637, 1.3096139430999756, 0.4535810947418213, 0.36568498611450195, 2.3579227924346924, 0.25355100631713867, 0.9408860206604004]"
-1,12,5.961331129074097,0.851618732724871,0.43203558979567247,"[0.8371331691741943, 1.1093230247497559, 0.9975218772888184, 1.4938580989837646, 0.5817549228668213, 0.9417400360107422]"
-1,14,4.925843954086304,0.615730494260788,0.2693049786087052,"[0.6055722236633301, 0.733191728591919, 0.5175480842590332, 0.5332217216491699, 0.8692452907562256, 0.7574260234832764, 0.9096388816833496]"
1,14,5.462856292724609,0.6828570365905762,0.4933415610349608,"[0.685431957244873, 1.5733709335327148, 0.5578830242156982, 0.37347936630249023, 0.2936999797821045, 0.6452999114990234, 1.333691120147705]"
1,20,6.576903581619263,0.5979003256017511,0.2743067058141198,"[0.6453802585601807, 1.0056719779968262, 0.6457042694091797, 0.44584202766418457, 0.4457080364227295, 0.7256250381469727, 0.5172069072723389, 0.6054880619049072, 0.4778330326080322, 1.0624439716339111]"
1,18,7.354822158813477,0.7354822158813477,0.3365998058550235,"[0.6376092433929443, 0.3414590358734131, 1.2378909587860107, 1.0534319877624512, 0.9577748775482178, 0.8058319091796875, 0.7974731922149658, 0.6775860786437988, 0.8457648754119873]"
-1,10,4.275459289550781,0.7125765482584635,0.6725398431962192,"[0.4934549331665039, 0.6772370338439941, 0.701411247253418, 0.28563618659973145, 2.117719888687134]"
1,12,7.2573792934417725,1.0367684704916817,0.6178183278855512,"[1.189488172531128, 1.4294579029083252, 0.5337419509887695, 1.7497472763061523, 1.7335789203643799, 0.6213650703430176]"
