cnd,transient_counts,cdt,mdt,dtstd,key_press_list
4.0,16,7.061459302902222,0.8826824128627777,0.30394076511624407,"[1.0536658763885498, 1.0376091003417969, 0.88602614402771, 1.0616121292114258, 0.7495312690734863, 1.3819661140441895, 0.3978407382965088, 0.4932079315185547]"
0.5,14,5.799579858779907,0.8285114083971296,0.4261728490691073,"[0.541283130645752, 0.45346593856811523, 1.1900217533111572, 0.30965304374694824, 0.6295959949493408, 1.125619888305664, 1.5499401092529297]"
2.0,16,6.549474239349365,0.8186842799186707,0.38929389729399466,"[0.8777790069580078, 1.0216600894927979, 1.3900458812713623, 0.7412722110748291, 1.2456839084625244, 0.3578319549560547, 0.7574200630187988, 0.15778112411499023]"
2.0,18,7.852377891540527,0.872486432393392,0.5041941379521924,"[0.3495910167694092, 0.5580060482025146, 0.2779698371887207, 0.8697919845581055, 1.4140129089355469, 0.7334859371185303, 1.6381819248199463, 1.565934181213379, 0.445404052734375]"
4.0,16,5.364849805831909,0.6706062257289886,0.1479854193412679,"[0.581758975982666, 0.5977931022644043, 0.42934298515319824, 0.9014191627502441, 0.7255730628967285, 0.5817446708679199, 0.8694798946380615, 0.6777379512786865]"
0.5,14,4.695728302001953,0.6708183288574219,0.3614825574830102,"[0.5016801357269287, 0.4939858913421631, 0.8136429786682129, 0.7576959133148193, 1.4377262592315674, 0.2292020320892334, 0.4617950916290283]"
2.0,8,3.446607828140259,0.8616519570350647,0.22286888746154218,"[0.6776049137115479, 1.1178100109100342, 0.6058330535888672, 1.0453598499298096]"
1.0,18,10.068330764770508,1.1187034183078342,0.6653709837732756,"[0.22127199172973633, 1.4860169887542725, 0.8619029521942139, 1.2856817245483398, 2.326038122177124, 0.6458320617675781, 1.9417610168457031, 0.37412405014038086, 0.9257018566131592]"
4.0,14,6.566876173019409,0.9381251675742013,0.3012118094228686,"[1.3574841022491455, 0.40569496154785156, 0.8293931484222412, 0.8936328887939453, 0.9254410266876221, 1.325484037399292, 0.8297460079193115]"
0.5,12,5.85799241065979,0.9763320684432983,0.38220799888371865,"[0.5496282577514648, 1.1496849060058594, 1.3976609706878662, 0.9976019859313965, 1.3656980991363525, 0.3977181911468506]"
1.0,14,7.666346311569214,1.0951923302241735,0.682862844063111,"[0.895388126373291, 0.621819019317627, 0.2779059410095215, 2.2937920093536377, 1.7740871906280518, 0.4775810241699219, 1.325773000717163]"
1.0,14,8.520605564117432,1.2172293663024902,0.46054950495955943,"[1.157806158065796, 1.1894769668579102, 0.5816466808319092, 1.805953025817871, 1.2140817642211914, 0.68562912940979, 1.8860118389129639]"
